target,horizon,feature,feature_label,is_exogenous,coef,abs_coef
Headline,1,cpi_yoy_lag1,"Headline CPI YoY (lag 1, autoregressive)",False,0.256226,0.256226
Headline,1,cpi_yoy_lag4,"Headline CPI YoY (lag 4, autoregressive)",False,-0.0,0.0
Headline,1,cash_rate_change_lag1,Cash Rate Change (lag 1),True,0.122582,0.122582
Headline,1,unemployment_rate_change_lag1,Unemployment Rate Change (lag 1),True,-0.003648,0.003648
Headline,1,inflation_expectations_business_lag1,Business Inflation Expectations (lag 1),True,0.687255,0.687255
Headline,1,ppi_growth_lag2,Producer Price Growth (lag 2),True,0.0,0.0
Headline,1,commodity_growth_lag1,Commodity Price Growth (lag 1),True,0.0,0.0
Headline,1,wti_growth_lag1,WTI Oil Price Growth (lag 1),True,0.079576,0.079576
Headline,1,ppi_growth_lag2_sq,Producer Price Growth Squared (lag 2),True,0.0,0.0
Headline,1,wti_growth_lag1_sq,WTI Oil Price Growth Squared (lag 1),True,-0.0,0.0
Headline,1,cash_rate_change_lag1_x_unemployment_rate_change_lag1,Cash Rate Change x Unemployment Rate Change Interaction (lag 1),True,-0.0,0.0
Headline,2,cpi_yoy_lag1,"Headline CPI YoY (lag 1, autoregressive)",False,0.039406,0.039406
Headline,2,cpi_yoy_lag4,"Headline CPI YoY (lag 4, autoregressive)",False,0.0,0.0
Headline,2,cash_rate_change_lag1,Cash Rate Change (lag 1),True,0.010033,0.010033
Headline,2,unemployment_rate_change_lag1,Unemployment Rate Change (lag 1),True,-0.094631,0.094631
Headline,2,inflation_expectations_business_lag1,Business Inflation Expectations (lag 1),True,0.64877,0.64877
Headline,2,ppi_growth_lag2,Producer Price Growth (lag 2),True,0.0,0.0
Headline,2,commodity_growth_lag1,Commodity Price Growth (lag 1),True,0.0,0.0
Headline,2,wti_growth_lag1,WTI Oil Price Growth (lag 1),True,0.262719,0.262719
Headline,2,ppi_growth_lag2_sq,Producer Price Growth Squared (lag 2),True,0.001327,0.001327
Headline,2,wti_growth_lag1_sq,WTI Oil Price Growth Squared (lag 1),True,0.0,0.0
Headline,2,cash_rate_change_lag1_x_unemployment_rate_change_lag1,Cash Rate Change x Unemployment Rate Change Interaction (lag 1),True,-0.046816,0.046816
Headline,3,cpi_yoy_lag1,"Headline CPI YoY (lag 1, autoregressive)",False,0.0,0.0
Headline,3,cpi_yoy_lag4,"Headline CPI YoY (lag 4, autoregressive)",False,0.0,0.0
